"ORDER_ID"	"BOOK_ID"	"QUANTITY"	"PRICE_PER_BOOK"
"46"	"10000224"	"8"	"375"
"46"	"10003682"	"1"	"400"
"46"	"10004037"	"3"	"150"
"46"	"10005312"	"9"	"250"
"46"	"10005501"	"4"	"180"
"47"	"10000074"	"6"	"150"
"47"	"10001191"	"1"	"450"
"47"	"10002163"	"3"	"130"
"47"	"10003086"	"7"	"1000"
"47"	"10003261"	"9"	"160"
"47"	"10003687"	"4"	"175"
"47"	"10005717"	"8"	"350"
"47"	"10006654"	"8"	"480"
"47"	"10007290"	"8"	"750"
"47"	"10008305"	"5"	"200"
"48"	"10001013"	"2"	"120"
"48"	"10003649"	"9"	"300"
"48"	"10005811"	"6"	"380"
"48"	"10005814"	"2"	"225"
"48"	"10006212"	"6"	"125"
"48"	"10008480"	"6"	"200"
"49"	"10000829"	"2"	"250"
"49"	"10001045"	"2"	"140"
"49"	"10004750"	"4"	"150"
"49"	"10005671"	"6"	"420"
"49"	"10005758"	"3"	"150"
"49"	"10005908"	"7"	"300"
"49"	"10006755"	"2"	"350"
"50"	"10000269"	"7"	"125"
"50"	"10002431"	"4"	"300"
"50"	"10003804"	"3"	"378"
"50"	"10004244"	"1"	"320"
"50"	"10005216"	"10"	"130"
"50"	"10005513"	"4"	"175"
"50"	"10006304"	"2"	"130"
"50"	"10006624"	"2"	"150"
"50"	"10007604"	"3"	"180"
"51"	"10001669"	"10"	"600"
"51"	"10002107"	"4"	"200"
"51"	"10004193"	"5"	"125"
"51"	"10004726"	"4"	"150"
"51"	"10005713"	"4"	"400"
"51"	"10007152"	"8"	"150"
"51"	"10008532"	"7"	"150"
"52"	"10001310"	"2"	"450"
"52"	"10002832"	"2"	"500"
"52"	"10003941"	"10"	"140"
"52"	"10005927"	"5"	"480"
"52"	"10006226"	"4"	"400"
"52"	"10006930"	"1"	"125"
"52"	"10007116"	"6"	"200"
"52"	"10008111"	"10"	"150"
"52"	"10008271"	"3"	"160"
"53"	"10000638"	"6"	"200"
"53"	"10001195"	"2"	"290"
"53"	"10004166"	"10"	"187"
"53"	"10005554"	"1"	"120"
"53"	"10006210"	"8"	"440"
"53"	"10007338"	"2"	"200"
"53"	"10008227"	"4"	"150"
"54"	"10000374"	"6"	"200"
"54"	"10003110"	"10"	"240"
"54"	"10003166"	"10"	"180"
"54"	"10003502"	"10"	"250"
"54"	"10003834"	"3"	"200"
"54"	"10005983"	"4"	"300"
"54"	"10006661"	"1"	"125"
"54"	"10007569"	"3"	"120"
"55"	"10000482"	"1"	"300"
"55"	"10000792"	"1"	"250"
"55"	"10001603"	"5"	"200"
"55"	"10003044"	"6"	"165"
"55"	"10003302"	"9"	"150"
"55"	"10003876"	"3"	"250"
"55"	"10008119"	"1"	"300"
"55"	"10008480"	"10"	"200"
"56"	"10000236"	"10"	"500"
"56"	"10001112"	"1"	"120"
"56"	"10003638"	"3"	"250"
"56"	"10004366"	"8"	"200"
"56"	"10004962"	"3"	"480"
"56"	"10005785"	"10"	"250"
"56"	"10006282"	"3"	"180"
"56"	"10006359"	"10"	"200"
"56"	"10008271"	"9"	"160"
"57"	"10000912"	"6"	"500"
"57"	"10001990"	"6"	"150"
"57"	"10002380"	"1"	"175"
"57"	"10002401"	"6"	"85"
"57"	"10003308"	"9"	"125"
"57"	"10003597"	"5"	"300"
"57"	"10003663"	"4"	"450"
"57"	"10006276"	"3"	"300"
"58"	"10000260"	"10"	"300"
"58"	"10000400"	"5"	"200"
"58"	"10000595"	"1"	"180"
"58"	"10001577"	"2"	"1000"
"58"	"10001866"	"4"	"400"
"58"	"10004230"	"3"	"250"
"58"	"10005972"	"4"	"220"
"58"	"10006125"	"3"	"135"
"59"	"10000870"	"2"	"175"
"59"	"10000904"	"6"	"400"
"59"	"10001958"	"1"	"180"
"59"	"10003161"	"4"	"150"
"59"	"10005866"	"1"	"200"
"59"	"10006342"	"8"	"150"
"59"	"10007088"	"7"	"150"
"59"	"10007650"	"3"	"135"
"59"	"10008140"	"1"	"500"
"60"	"10000738"	"8"	"140"
"60"	"10001299"	"9"	"375"
"60"	"10001785"	"3"	"300"
"60"	"10002061"	"10"	"260"
"60"	"10002144"	"10"	"500"
"60"	"10003822"	"6"	"160"
"60"	"10005117"	"9"	"410"
"60"	"10006582"	"10"	"100"
"61"	"10000340"	"3"	"225"
"61"	"10001165"	"7"	"250"
"61"	"10001202"	"2"	"130"
"61"	"10001390"	"5"	"180"
"61"	"10004238"	"9"	"280"
"61"	"10004970"	"5"	"160"
"61"	"10005044"	"7"	"500"
"61"	"10005054"	"4"	"550"
"61"	"10006133"	"6"	"470"
"61"	"10006674"	"6"	"160"
"62"	"10000795"	"6"	"375"
"62"	"10001205"	"2"	"800"
"62"	"10002301"	"2"	"180"
"62"	"10003100"	"10"	"210"
"62"	"10003459"	"5"	"350"
"62"	"10003604"	"5"	"570"
"62"	"10004960"	"1"	"550"
"62"	"10007819"	"4"	"300"
"63"	"10001101"	"6"	"500"
"63"	"10002161"	"2"	"250"
"63"	"10002628"	"10"	"160"
"63"	"10004124"	"2"	"200"
"63"	"10006135"	"2"	"400"
"64"	"10003403"	"1"	"700"
"64"	"10004064"	"6"	"200"
"64"	"10005399"	"7"	"300"
"64"	"10006434"	"9"	"150"
"64"	"10007346"	"9"	"150"
"65"	"10000366"	"7"	"1200"
"65"	"10001486"	"3"	"125"
"65"	"10002967"	"10"	"140"
"65"	"10006167"	"7"	"250"
"65"	"10006659"	"10"	"550"
"65"	"10007117"	"9"	"700"
"65"	"10007404"	"6"	"300"
"66"	"10000586"	"2"	"150"
"66"	"10001013"	"8"	"120"
"66"	"10001638"	"8"	"125"
"66"	"10002520"	"2"	"200"
"66"	"10003291"	"9"	"170"
"66"	"10005015"	"10"	"180"
"66"	"10005677"	"5"	"160"
"66"	"10008203"	"1"	"125"
"66"	"10008848"	"8"	"300"
"67"	"10000214"	"3"	"160"
"67"	"10003988"	"8"	"275"
"67"	"10004300"	"3"	"140"
"67"	"10004611"	"9"	"700"
"67"	"10006873"	"8"	"125"
"67"	"10007043"	"4"	"110"
"67"	"10007905"	"3"	"120"
"67"	"10008414"	"9"	"150"
"67"	"10008629"	"9"	"120"
"68"	"10000343"	"8"	"500"
"68"	"10000761"	"4"	"180"
"68"	"10000885"	"4"	"300"
"68"	"10000954"	"1"	"150"
"68"	"10001897"	"8"	"450"
"68"	"10002910"	"5"	"180"
"68"	"10003294"	"9"	"160"
"68"	"10005090"	"9"	"280"
"68"	"10007279"	"3"	"150"
"68"	"10007675"	"9"	"300"
"69"	"10000771"	"7"	"120"
"69"	"10002286"	"4"	"325"
"69"	"10003485"	"10"	"125"
"69"	"10005277"	"10"	"300"
"69"	"10006191"	"1"	"200"
"69"	"10006593"	"10"	"150"
"70"	"10002263"	"7"	"350"
"70"	"10004827"	"5"	"111"
"70"	"10005087"	"1"	"140"
"70"	"10005595"	"6"	"550"
"70"	"10005604"	"4"	"100"
"70"	"10007040"	"3"	"225"
"70"	"10007090"	"2"	"120"
"70"	"10008114"	"5"	"120"
"71"	"10001430"	"2"	"250"
"71"	"10001992"	"1"	"200"
"71"	"10004728"	"6"	"135"
"71"	"10006121"	"2"	"500"
"71"	"10007960"	"5"	"150"
"71"	"10009053"	"4"	"200"
"72"	"10000947"	"6"	"230"
"72"	"10001531"	"3"	"300"
"72"	"10002110"	"9"	"250"
"72"	"10002848"	"8"	"600"
"72"	"10003022"	"1"	"200"
"72"	"10007060"	"3"	"250"
"72"	"10007279"	"8"	"150"
"72"	"10008245"	"8"	"250"
"73"	"10000060"	"6"	"130"
"73"	"10000229"	"10"	"125"
"73"	"10004257"	"4"	"125"
"73"	"10004928"	"4"	"350"
"73"	"10006884"	"3"	"180"
"74"	"10001337"	"8"	"220"
"74"	"10002408"	"9"	"350"
"74"	"10002466"	"7"	"420"
"74"	"10003394"	"8"	"350"
"74"	"10004213"	"1"	"200"
"74"	"10007628"	"6"	"250"
"74"	"10008625"	"7"	"150"
"74"	"10008811"	"2"	"490"
"74"	"10008844"	"10"	"300"
"75"	"10000363"	"5"	"350"
"75"	"10003217"	"5"	"125"
"75"	"10003973"	"9"	"220"
"75"	"10004830"	"5"	"350"
"75"	"10005133"	"4"	"240"
"75"	"10005648"	"7"	"135"
"75"	"10005838"	"6"	"125"
"75"	"10008635"	"4"	"150"
"75"	"10008681"	"1"	"300"
"76"	"10001618"	"4"	"800"
"76"	"10003772"	"7"	"120"
"76"	"10004047"	"1"	"250"
"76"	"10005949"	"2"	"150"
"76"	"10006061"	"1"	"199"
"76"	"10007479"	"8"	"150"
"76"	"10008099"	"3"	"250"
"76"	"10008672"	"5"	"300"
"77"	"10001344"	"8"	"220"
"77"	"10001390"	"2"	"180"
"77"	"10002693"	"7"	"150"
"77"	"10003041"	"3"	"200"
"77"	"10004328"	"10"	"300"
"77"	"10004422"	"7"	"275"
"77"	"10007414"	"1"	"600"
"77"	"10009041"	"10"	"300"
"78"	"10003197"	"7"	"300"
"78"	"10003630"	"2"	"300"
"78"	"10004349"	"4"	"200"
"78"	"10005186"	"9"	"800"
"78"	"10007623"	"10"	"167"
"78"	"10008062"	"6"	"330"
"79"	"10000090"	"7"	"551"
"79"	"10000487"	"1"	"125"
"79"	"10001251"	"3"	"140"
"79"	"10001401"	"4"	"350"
"79"	"10002476"	"5"	"200"
"79"	"10003874"	"4"	"250"
"79"	"10004396"	"9"	"450"
"79"	"10005813"	"4"	"150"
"79"	"10006973"	"3"	"400"
"80"	"10001587"	"2"	"350"
"80"	"10001685"	"2"	"320"
"80"	"10003531"	"7"	"230"
"80"	"10003867"	"6"	"2000"
"80"	"10003883"	"6"	"150"
"80"	"10004397"	"3"	"260"
"80"	"10004576"	"1"	"150"
"80"	"10004706"	"10"	"250"
"80"	"10004871"	"8"	"300"
"80"	"10006007"	"5"	"150"
"81"	"10000508"	"1"	"125"
"81"	"10002443"	"6"	"300"
"81"	"10003371"	"3"	"230"
"81"	"10004957"	"5"	"250"
"81"	"10005186"	"10"	"800"
