"CART_ID"	"BOOK_ID"	"QUANTITY"
"98"	"10006218"	"1"
"98"	"10008359"	"1"
"98"	"10005128"	"5"
"98"	"10005895"	"4"
"98"	"10005658"	"1"
"98"	"10008707"	"1"
"98"	"10004898"	"1"
"98"	"10001824"	"10"
"98"	"10000757"	"2"
"98"	"10000487"	"1"
"98"	"10002793"	"4"
"98"	"10001567"	"3"
"98"	"10006010"	"1"
"98"	"10002342"	"1"
"98"	"10005690"	"1"
"98"	"10001281"	"8"
"98"	"10005994"	"1"
"98"	"10005536"	"1"
"98"	"10003973"	"1"
"98"	"10000235"	"10"
"98"	"10001932"	"1"
"98"	"10004433"	"1"
"98"	"10000049"	"10"
"98"	"10004883"	"4"
"98"	"10007092"	"1"
"98"	"10003847"	"9"
"98"	"10002674"	"10"
"98"	"10000772"	"9"
"98"	"10008739"	"1"
"98"	"10005223"	"1"
"98"	"10008381"	"1"
"98"	"10003130"	"9"
"98"	"10007839"	"1"
"98"	"10004565"	"9"
"98"	"10002595"	"8"
"98"	"10005657"	"1"
"98"	"10005302"	"1"
"98"	"10004315"	"8"
"98"	"10005495"	"1"
"98"	"10007717"	"1"
"98"	"10008375"	"1"
"98"	"10006187"	"1"
"98"	"10005631"	"1"
"98"	"10001898"	"1"
"98"	"10000437"	"1"
"98"	"10000516"	"3"
"98"	"10004500"	"1"
"98"	"10004434"	"1"
"98"	"10006421"	"1"
"98"	"10003413"	"1"
"98"	"10000271"	"2"
"98"	"10005666"	"1"
"98"	"10005170"	"1"
"98"	"10004057"	"1"
"98"	"10006616"	"1"
"98"	"10002917"	"1"
"98"	"10003862"	"1"
"98"	"10006716"	"1"
